N, Q, S, P_0, P_1, P_2, R_1, R_2, A_1, A_2, 
200, 8, 40, 160, 0, 0, 0, 0, 0, 0, 
200, 8, 16, 160, 0, 0, 6, 6, 6, 6, 
200, 8, -8, 160, 0, 0, 12, 12, 12, 12, 
200, 8, -14, 160, 0, 0, 14, 13, 14, 13, 
200, 8, -18, 160, 0, 0, 16, 13, 16, 13, 
200, 8, -24, 160, 0, 0, 17, 15, 17, 15, 
200, 8, -16, 160, 0, 0, 18, 16, 12, 10, 
200, 8, -9, 160, 0, 0, 19, 17, 7, 6, 
200, 8, -11, 160, 0, 0, 20, 18, 6, 7, 
200, 8, -9, 160, 0, 0, 19, 19, 4, 7, 
200, 8, -13, 160, 0, 0, 18, 22, 4, 9, 
200, 8, -13, 160, 0, 0, 18, 22, 4, 9, 
200, 8, -13, 160, 0, 0, 17, 23, 4, 9, 
200, 8, -12, 160, 0, 0, 17, 23, 3, 9, 
200, 8, -14, 160, 0, 0, 17, 23, 4, 10, 
200, 8, -11, 160, 0, 0, 17, 23, 4, 7, 
200, 8, -12, 160, 0, 0, 17, 23, 4, 8, 
200, 8, -10, 160, 0, 0, 17, 23, 3, 7, 
200, 8, -10, 160, 0, 0, 17, 23, 4, 6, 
200, 8, -8, 160, 0, 0, 17, 23, 3, 5, 
200, 8, -7, 160, 0, 0, 17, 23, 2, 5, 
200, 8, -6, 160, 0, 0, 17, 23, 1, 5, 
200, 8, -9, 160, 0, 0, 16, 24, 2, 7, 
200, 8, -11, 160, 0, 0, 16, 24, 4, 7, 
200, 8, -11, 160, 0, 0, 16, 24, 4, 7, 
200, 8, -10, 160, 0, 0, 16, 24, 4, 6, 
200, 8, -9, 160, 0, 0, 16, 24, 5, 4, 
200, 8, -6, 160, 0, 0, 16, 24, 4, 2, 
200, 8, -2, 160, 0, 0, 16, 24, 1, 1, 
200, 8, -2, 160, 0, 0, 15, 25, 1, 1, 
200, 8, -4, 159, 1, 0, 14, 26, 2, 2, 
200, 8, -6, 157, 1, 2, 14, 26, 2, 4, 
200, 8, -6, 157, 1, 2, 14, 26, 2, 4, 
200, 8, -6, 157, 1, 2, 14, 26, 2, 4, 
200, 8, -7, 156, 1, 3, 14, 26, 3, 4, 
200, 8, -6, 156, 1, 3, 14, 26, 3, 3, 
200, 8, -4, 156, 1, 3, 14, 26, 2, 2, 
200, 8, -4, 155, 1, 4, 14, 26, 2, 2, 
200, 8, -4, 155, 1, 4, 13, 27, 2, 2, 
200, 8, -5, 155, 1, 4, 13, 27, 1, 4, 
200, 8, -7, 153, 2, 5, 13, 27, 1, 6, 
200, 8, -8, 150, 2, 8, 12, 28, 2, 6, 
200, 8, -9, 150, 2, 8, 12, 28, 2, 7, 
